Timestamp,Pedido NF,Cliente,SKU,Código Bipado,Quantidade,Operador,Erro,Interrompido,Mensagem
20/04/2026 00:23:47,002364,GUARANI COSMETICOS E BEM ESTAR LTDA - F6,MR01835,070341925799,1,Administrador,False,False,
20/04/2026 00:23:53,002364,GUARANI COSMETICOS E BEM ESTAR LTDA - F6,MR01835,070341925799,1,Administrador,False,False,
20/04/2026 00:23:58,002364,GUARANI COSMETICOS E BEM ESTAR LTDA - F6,MR01835,070341925799,1,Administrador,False,False,
20/04/2026 00:24:07,002364,GUARANI COSMETICOS E BEM ESTAR LTDA - F6,MR01835,070341925799,1,Administrador,False,False,
20/04/2026 00:24:11,002364,GUARANI COSMETICOS E BEM ESTAR LTDA - F6,MR01835,070341925799,1,Administrador,False,False,
20/04/2026 00:24:25,002364,GUARANI COSMETICOS E BEM ESTAR LTDA - F6,MR01835,070341925799,1,Administrador,False,False,
20/04/2026 00:24:27,002364,GUARANI COSMETICOS E BEM ESTAR LTDA - F6,MR01835,070341925799,1,Administrador,False,False,
20/04/2026 00:24:29,002364,GUARANI COSMETICOS E BEM ESTAR LTDA - F6,MR01835,070341925799,1,Administrador,False,False,
20/04/2026 00:24:32,002364,GUARANI COSMETICOS E BEM ESTAR LTDA - F6,MR01835,070341925799,1,Administrador,False,False,
20/04/2026 00:24:33,002364,GUARANI COSMETICOS E BEM ESTAR LTDA - F6,MR01835,070341925799,1,Administrador,False,False,
20/04/2026 00:24:35,002364,GUARANI COSMETICOS E BEM ESTAR LTDA - F6,MR01835,070341925799,1,Administrador,False,False,
20/04/2026 00:25:09,002364,GUARANI COSMETICOS E BEM ESTAR LTDA - F6,MR01835,070341925799,1,Administrador,False,False,
